overview:
S_D_p:79.164
S_D_r:65.827
S_D_f1:71.882
S_C_p:70.548
S_C_r:58.663
S_C_f1:64.059
C_D_p:82.999
C_D_r:67.009
C_D_f1:74.152
C_C_p:73.591
C_C_r:59.415
C_C_f1:65.748

bad cases:
原始: 据说每年用于维稳的资金高达7000亿元，但这么多钱砸出去溅出个水花，让病情却扩散的同时，孳生了更多的腐败
正确: 据说每年用于维稳的资金高达7000亿元，但这么多钱砸出去溅出个水花，让病情却扩散的同时，【孳】生了更多的腐败
预测: 据说每年用于维稳的资金高达7000亿元，但这么多钱砸出去溅出个水花，让病情却扩散的同时，【滋】生了更多的腐败
错误类型: 过纠

原始: 继7月刚刚妄称“一国两制”白皮书削弱香港司法独立后，自称一直“试图避免卷入香港民主争论”的香港“末代总督”彭定康再度开腔，今日（3日）在《金融时报》中文网撰文称“香港困局考问英国道义责任”
正确: 继7月刚刚妄称“一国两制”白皮书削弱香港司法独立后，自称一直“试图避免卷入香港民主争论”的香港“末代总督”彭定康再度开腔，今日（3日）在《金融时报》中文网撰文称“香港困局【拷】问英国道义责任”
预测: 继7月刚刚妄称“一国两制”白皮书削弱香港司法独立后，自称一直“试图避免卷入香港民主争论”的香港“末代总督”彭定康再度开腔，今日（3日）在《金融时报》中文网撰文称“香港困局【考】问英国道义责任”
错误类型: 漏纠

原始: 据央视报道：日前，搜狗搜索正式接入微信大数据，业内首次实现合微信公众号的外网全面展示，用户在搜索结果页可以轻松浏览到与查询词相关的微信公众号与全部文章，这标志着高品质公众号及内容搜索平台最终得以实现
正确: 据央视报道：日前，搜狗搜索正式接入微信大数据，业内首次实现【和】微信公众号的外网全面展示，用户在搜索结果页可以轻松浏览到与查询词相关的微信公众号与全部文章，这标志着高品质公众号及内容搜索平台最终得以实现
预测: 据央视报道：日前，搜狗搜索正式接入微信大数据，业内首次实现【合】微信公众号的外网全面展示，用户在搜索结果页可以轻松浏览到与查询词相关的微信公众号与全部文章，这标志着高品质公众号及内容搜索平台最终得以实现
错误类型: 漏纠

原始: 接受该报采访的患者家属与劳工组织认为，这与员工上班时接触某些含笨的清洁剂有关
正确: 接受该报采访的患者家属与劳工组织认为，这与员工上班时接触某些含【苯】的清洁剂有关
预测: 接受该报采访的患者家属与劳工组织认为，这与员工上班时接触某些含【笨】的清洁剂有关
错误类型: 漏纠

原始: 来西藏一定要去这些地方：在大昭寺广场上赛太阳，感受藏民的虔诚与信仰；在纳木错湖边聆听涛声，晚上数哪些近的不能再近的星星；在林芝惊讶于绽放的桃花和茫茫的鲁朗林海；在山南的拉姆拉错的湖中倒影出自己的前世今生……
正确: 来西藏一定要去这些地方：在大昭寺广场上【晒】太阳，感受藏民的虔诚与信仰；在纳木错湖边聆听涛声，晚上数那些近【的】不能再近的星星；在林芝惊讶于绽放的桃花和茫茫的鲁朗林海；在山南的拉姆拉错的湖中倒影出自己的前世今生……
预测: 来西藏一定要去这些地方：在大昭寺广场上【赛】太阳，感受藏民的虔诚与信仰；在纳木错湖边聆听涛声，晚上数那些近【得】不能再近的星星；在林芝惊讶于绽放的桃花和茫茫的鲁朗林海；在山南的拉姆拉错的湖中倒影出自己的前世今生……
错误类型: 综合

原始: 如果2011年电子阅读器的“滑铁卢”代表硬件推进数字出版的困境，那如今由众多的移动阅读APP则预示着蛰伏许久的数字出版业终于要再度振兴
正确: 如果2011年电子阅读器的“滑铁卢”代表硬件推进数字出版的困境，那如今【有】众多的移动阅读APP则预示着蛰伏许久的数字出版业终于要再度振兴
预测: 如果2011年电子阅读器的“滑铁卢”代表硬件推进数字出版的困境，那如今【由】众多的移动阅读APP则预示着蛰伏许久的数字出版业终于要再度振兴
错误类型: 漏纠

原始: 当地时间2014年4月1日，智利伊基克，当地人在受到海啸预警后撤离
正确: 当地时间2014年4月1日，智利伊基克，当地人在【受】到海啸预警后撤离
预测: 当地时间2014年4月1日，智利伊基克，当地人在【收】到海啸预警后撤离
错误类型: 过纠

原始: 这次由于种种原因挫至周末过港，结果不出意料，人多的太夸张，比起上次元旦去还夸张光各种排队从9点一直到12点才过，然后到那边的万宁也是，跟抢购似的，活动真心没多少，就不知道人多成那样……
正确: 这次由于种种原因【挪】至周末过港，结果不出意料，人多得太夸张，比起上次元旦去还夸张光各种排队从9点一直到12点才过，然后到那边的万宁也是，跟抢购似的，活动真心没多少，就不知道人多成那样……
预测: 这次由于种种原因【挫】至周末过港，结果不出意料，人多得太夸张，比起上次元旦去还夸张光各种排队从9点一直到12点才过，然后到那边的万宁也是，跟抢购似的，活动真心没多少，就不知道人多成那样……
错误类型: 综合

原始: 当日，张国荣主题肖像展开幕，不仅有哥哥昔日胆量的珍稀图片曝光，更有大量经典荧幕形象的海报，人偶，蜡像等展出，音容犹在
正确: 当日，张国荣主题肖像展开幕，不仅有哥哥昔日【大】量的珍稀图片曝光，更有大量经典荧幕形象的海报，人偶，蜡像等展出，音容犹在
预测: 当日，张国荣主题肖像展开幕，不仅有哥哥昔日【胆】量的珍稀图片曝光，更有大量经典荧幕形象的海报，人偶，蜡像等展出，音容犹在
错误类型: 漏纠

原始: 美国爱荷华州立大学和纽约康乃尔大学一项为期七年，跟踪调查406位年龄在65到75岁之间的母亲，考量了她们子女们的各项表现和条件，并以此推估子女们搏得母亲欢心的能力，结果发现这些条件都不如孩子和母亲的信仰、价值观或想法上相似性这点
正确: 美国爱荷华州立大学和纽约康乃尔大学一项为期七年，跟踪调查406位年龄在65到75岁之间的母亲，考量了她们子女们的各项表现和条件，并以此推估子女们【博】得母亲欢心的能力，结果发现这些条件都不如孩子和母亲的信仰、价值观或想法上相似性这点
预测: 美国爱荷华州立大学和纽约康乃尔大学一项为期七年，跟踪调查406位年龄在65到75岁之间的母亲，考量了她们子女们的各项表现和条件，并以此推估子女们【搏】得母亲欢心的能力，结果发现这些条件都不如孩子和母亲的信仰、价值观或想法上相似性这点
错误类型: 漏纠

原始: 截至今年8月，世贸集团今年的物业合约销售额已达306亿，提前完成年初制定的2012全年销售目标
正确: 截至今年8月，世【茂】集团今年的物业合约销售额已达306亿，提前完成年初制定的2012全年销售目标
预测: 截至今年8月，世【贸】集团今年的物业合约销售额已达306亿，提前完成年初制定的2012全年销售目标
错误类型: 漏纠

原始: 其中有杨晓渡等6人有知情下乡的经历；8人曾在厂矿或部队工作；8人有纪检和监察工作经历
正确: 其中有杨晓渡等6人有知【青】下乡的经历；8人曾在厂矿或部队工作；8人有纪检和监察工作经历
预测: 其中有杨晓渡等6人有知【情】下乡的经历；8人曾在厂矿或部队工作；8人有纪检和监察工作经历
错误类型: 漏纠

原始: 即便风险巨大，体育品牌仍然对顶级运动员趋之若骛，因为体育营销的终极目的是制造出与品牌相关的信仰，而制造信仰最好的路径，莫过于通过鼓舞和震撼人心的体育人物和故事，顶级运动员的经历和成就，正是这些题材的天然富矿
正确: 即便风险巨大，体育品牌仍然对顶级运动员趋之若鹜，因为体育营销的终极目的是制造出与品牌相关的信仰，而制造信仰最好的路径，莫过于通过鼓舞和震撼人心的体育人物和故事，顶级运动员的经历和成就，正是这些题材的天然【富】矿
预测: 即便风险巨大，体育品牌仍然对顶级运动员趋之若鹜，因为体育营销的终极目的是制造出与品牌相关的信仰，而制造信仰最好的路径，莫过于通过鼓舞和震撼人心的体育人物和故事，顶级运动员的经历和成就，正是这些题材的天然【宝】矿
错误类型: 综合

原始: 近日，焦作市国土资源局与辖区沁阳市国土资源局联合查处一起非法采矿，扣压开矿设备8台，10余人被当场控制
正确: 近日，焦作市国土资源局与辖区沁阳市国土资源局联合查处一起非法采矿，扣【押】开矿设备8台，10余人被当场控制
预测: 近日，焦作市国土资源局与辖区沁阳市国土资源局联合查处一起非法采矿，扣【压】开矿设备8台，10余人被当场控制
错误类型: 漏纠

原始: 中移（00941）将于今午公布中期业绩，券商虽然预期中移上半年盈利可升0.97%至3.78%，即期内盈利可介乎619亿至636亿元人民币，惟有券商警告，中移高速增长时代已经过去，中移未来五年盈利复合年增长（CAGR）有机会不升反跌
正确: 中移（00941）将于今午公布中期业绩，券商虽然预期中移上半年盈利可升0.97%至3.78%，即期内盈利可介乎619亿至636亿元人民币，【唯】有券商警告，中移高速增长时代已经过去，中移未来五年盈利复合年增长（CAGR）有机会不升反跌
预测: 中移（00941）将于今午公布中期业绩，券商虽然预期中移上半年盈利可升0.97%至3.78%，即期内盈利可介乎619亿至636亿元人民币，【惟】有券商警告，中移高速增长时代已经过去，中移未来五年盈利复合年增长（CAGR）有机会不升反跌
错误类型: 漏纠

原始: 在不同的社交网站中，Facebook无庸置疑地登上王位...
正确: 在不同的社交网站中，Facebook【毋】庸置疑地登上王位...
预测: 在不同的社交网站中，Facebook【无】庸置疑地登上王位...
错误类型: 漏纠

原始: 这家百年老店于1862年开业，是法国文人与政治家经常光顾的地方，历届法国总统都不只光临一次
正确: 这家百年老店于1862年开业，是法国文人与政治家经常光顾的地方，历届法国总统都不【止】光临一次
预测: 这家百年老店于1862年开业，是法国文人与政治家经常光顾的地方，历届法国总统都不【只】光临一次
错误类型: 漏纠

原始: 即便政府部门仍然不肯改口直承“用工荒”，但除了一直存在的所谓结构性矛盾，现在供求矛盾已经凸显，甚至对广州的城市发展、社会生活以及产业升级转型等各方面造成影响
正确: 即便政府部门仍然不肯改口直【称】“用工荒”，但除了一直存在的所谓结构性矛盾，现在供求矛盾已经凸显，甚至对广州的城市发展、社会生活以及产业升级转型等各方面造成影响
预测: 即便政府部门仍然不肯改口直【承】“用工荒”，但除了一直存在的所谓结构性矛盾，现在供求矛盾已经凸显，甚至对广州的城市发展、社会生活以及产业升级转型等各方面造成影响
错误类型: 漏纠

原始: 发掘阿道夫.韦尔夫利（AdolfWölfli）的艺术才华的是瑞士籍精神病医生瓦而特莫根塔勒
正确: 发掘阿道夫.韦尔夫利（AdolfWölfli）的艺术才华的是瑞士籍精神病医生瓦【尔】特莫根塔勒
预测: 发掘阿道夫.韦尔夫利（AdolfWölfli）的艺术才华的是瑞士籍精神病医生瓦【而】特莫根塔勒
错误类型: 漏纠

原始: 此日，当他们准备再次作案时，被接到居民举报的民警抓获
正确: 【次】日，当他们准备再次作案时，被接到居民举报的民警抓获
预测: 【此】日，当他们准备再次作案时，被接到居民举报的民警抓获
错误类型: 漏纠

原始: 未来两年内，南宁市将在南湖片区和凤岭南片区，建设慢行交通导向标识牌，标注附近学校、银行、小区等地点，并表明距离
正确: 未来两年内，南宁市将在南湖片区和凤岭南片区，建设慢行交通导向标识牌，标注附近学校、银行、小区等地点，并【标】明距离
预测: 未来两年内，南宁市将在南湖片区和凤岭南片区，建设慢行交通导向标识牌，标注附近学校、银行、小区等地点，并【表】明距离
错误类型: 漏纠

原始: 每年只有一个春运，但从勉强浪费的角度考虑搭建候车棚不如建设一个候车大厅，在非春运期间做经营使用，春运或其他运输高峰时期做候车大厅
正确: 每年只有一个春运，但从勉强浪费的角度考虑搭建候车棚不如建设一个候车大厅，在非春运期间【作】经营使用，春运或其他运输高峰时期做候车大厅
预测: 每年只有一个春运，但从勉强浪费的角度考虑搭建候车棚不如建设一个候车大厅，在非春运期间【做】经营使用，春运或其他运输高峰时期做候车大厅
错误类型: 漏纠

原始: 社科院欧洲研究所科技政策研究室副主任孙彦红在中国政府网访谈时表示，意大利的中小企业又是非常有优势，这次总理访问意大利，表达了一个信息就是中意未来加强经济合作，中小企业是一个非常重要的平台或者说渠道
正确: 社科院欧洲研究所科技政策研究室副主任孙彦红在中国政府网访谈时表示，意大利的中小企业【有】【时】非常有优势，这次总理访问意大利，表达了一个信息就是中意未来加强经济合作，中小企业是一个非常重要的平台或者说渠道
预测: 社科院欧洲研究所科技政策研究室副主任孙彦红在中国政府网访谈时表示，意大利的中小企业【又】【是】非常有优势，这次总理访问意大利，表达了一个信息就是中意未来加强经济合作，中小企业是一个非常重要的平台或者说渠道
错误类型: 漏纠

原始: 对新建的，发现一个，拆除一个；对续建、改建和扩建的，要责令其挺直建设和经营，并依法取缔
正确: 对新建的，发现一个，拆除一个；对续建、改建和扩建的，要责令其【停】【止】建设和经营，并依法取缔
预测: 对新建的，发现一个，拆除一个；对续建、改建和扩建的，要责令其【挺】【直】建设和经营，并依法取缔
错误类型: 漏纠

原始: 拉萨贡嘎机场海拔3600米，是世界上海拔最高的民用机场之一，以往从上海飞拉萨必须经停如西安的机场加油
正确: 拉萨贡嘎机场海拔3600米，是世界上海拔最高的民用机场之一，以往从上海飞拉萨必须经停【入】西安的机场加油
预测: 拉萨贡嘎机场海拔3600米，是世界上海拔最高的民用机场之一，以往从上海飞拉萨必须经停【如】西安的机场加油
错误类型: 漏纠

原始: 结婚旺季临近，钻石消费又成了市民关注热点，然而，昂贵的转世却让不少年轻男女望而却步
正确: 结婚旺季临近，钻石消费又成了市民关注热点，然而，昂贵的【钻】【石】却让不少年轻男女望而却步
预测: 结婚旺季临近，钻石消费又成了市民关注热点，然而，昂贵的【转】【世】却让不少年轻男女望而却步
错误类型: 漏纠

原始: 国务院再取消和下放75项行政审批事项；广州去年罚没收入超预算六亿；纽约时报：高铁以出人预料的方式改变了中国；房价仍在上涨买房者：房子决定幸福度；中央巡视组:中储粮总公司基层腐败案件高发多发……
正确: 国务院再取消和下放75项行政审批事项；广州去年罚没收入超预算六亿；纽约时报：高铁以出人【预】料的方式改变了中国；房价仍在上涨买房者：房子决定幸福度；中央巡视组:中储粮总公司基层腐败案件高发多发……
预测: 国务院再取消和下放75项行政审批事项；广州去年罚没收入超预算六亿；纽约时报：高铁以出人【意】料的方式改变了中国；房价仍在上涨买房者：房子决定幸福度；中央巡视组:中储粮总公司基层腐败案件高发多发……
错误类型: 过纠

原始: 目前我国60岁以上老年人约占总人口的12%，其中65岁以上老年入占总人口的比例已超过8%;均已达到了国际上公认的老龄社会标准
正确: 目前我国60岁以上老年人约占总人口的12%，其中65岁以上老年【入】占总人口的比例已超过8%;均已达到了国际上公认的老龄社会标准
预测: 目前我国60岁以上老年人约占总人口的12%，其中65岁以上老年【人】占总人口的比例已超过8%;均已达到了国际上公认的老龄社会标准
错误类型: 过纠

原始: 这不是第一款采用拉链型的设计的耳机，但这款耳机拥有更先进的设计，新设计在原有的基础上增加的手势设计：相信未来这款产品已经会收到大家的欢迎
正确: 这不是第一款采用拉链型的设计的耳机，但这款耳机拥有更先进的设计，新设计在原有的基础上增加的手势设计：相信未来这款产品【一】【定】会受到大家的欢迎
预测: 这不是第一款采用拉链型的设计的耳机，但这款耳机拥有更先进的设计，新设计在原有的基础上增加的手势设计：相信未来这款产品【已】【经】会受到大家的欢迎
错误类型: 综合

原始: 某房地产开发公司建造一幢高层住宅楼，一层为底下停车场，可张某入住后发现，房产公司已将该楼连同地下停车场卖给了当地一家商贸公司
正确: 某房地产开发公司建造一幢高层住宅楼，一层为【地】下停车场，可张某入住后发现，房产公司已将该楼连同地下停车场卖给了当地一家商贸公司
预测: 某房地产开发公司建造一幢高层住宅楼，一层为【底】下停车场，可张某入住后发现，房产公司已将该楼连同地下停车场卖给了当地一家商贸公司
错误类型: 漏纠

原始: 继2009年宾州校园艳照风坡后，维吉尼亚州路易莎郡也发生学生性感自拍照外流事件，当警方以儿童色情介入调查后，惊讶发现这股自拍风气在校园里相当盛行，多数学生司空见惯，自拍者也不分学校、成绩、种族，照片不仅摆出性感姿势，甚至包括裸照、性爱照等
正确: 继2009年宾州校园艳照风【波】后，维吉尼亚州路易莎郡也发生学生性感自拍照外流事件，当警方以儿童色情介入调查后，惊讶发现这股自拍风气在校园里相当盛行，多数学生司空见惯，自拍者也不分学校、成绩、种族，照片不仅摆出性感姿势，甚至包括裸照、性爱照等
预测: 继2009年宾州校园艳照风【暴】后，维吉尼亚州路易莎郡也发生学生性感自拍照外流事件，当警方以儿童色情介入调查后，惊讶发现这股自拍风气在校园里相当盛行，多数学生司空见惯，自拍者也不分学校、成绩、种族，照片不仅摆出性感姿势，甚至包括裸照、性爱照等
错误类型: 综合

原始: 杭州体育局局长赵荣福说，两人已成为杭州的城市名片，并称要增减两座他们二人的雕像，“小叶、孙杨，杭州体育馆门口，马上就要多两座属于你们自己的雕塑了
正确: 杭州体育局局长赵荣福说，两人已成为杭州的城市名片，并称要增【加】两座他们二人的雕像，“小叶、孙杨，杭州体育馆门口，马上就要多两座属于你们自己的雕塑了
预测: 杭州体育局局长赵荣福说，两人已成为杭州的城市名片，并称要增【减】两座他们二人的雕像，“小叶、孙杨，杭州体育馆门口，马上就要多两座属于你们自己的雕塑了
错误类型: 漏纠

原始: 若果这个料真是她所爆，那只有一种可能——报复+炒作而已
正确: 【若】果这个料真是她所爆，那只有一种可能——报复+炒作而已
预测: 【如】果这个料真是她所爆，那只有一种可能——报复+炒作而已
错误类型: 过纠

原始: 只要用手机或平板电脑扫一扫二维码，就可以实时掌握案件审理和相关费用的最近动态
正确: 只要用手机或平板电脑扫一扫二维码，就可以实时掌握案件审理和相关费用的最【近】动态
预测: 只要用手机或平板电脑扫一扫二维码，就可以实时掌握案件审理和相关费用的最【新】动态
错误类型: 过纠

原始: 搭配的小米酱，粗粮细做，在烹煮时，要注意火候，不宜太大火，小火慢煮，是小米充分膨胀吸收牛奶的奶香和玉米的清甜
正确: 搭配的小米酱，粗【粮】细做，在烹煮时，要注意火候，不宜太大火，小火慢煮，使小米充分膨胀吸收牛奶的奶香和玉米的清甜
预测: 搭配的小米酱，粗【磨】细做，在烹煮时，要注意火候，不宜太大火，小火慢煮，使小米充分膨胀吸收牛奶的奶香和玉米的清甜
错误类型: 综合

原始: 银行在淘宝天猫开店，销售投资金品和理财产品；保险公司在网上发起团购，产品遭火爆“秒杀”；基金公司与支付宝合作销售基金产品，产品即将进入电子商城……网络理财方式与我们越来越近
正确: 银行在淘宝天猫开店，销售投资【金】品和理财产品；保险公司在网上发起团购，产品遭火爆“秒杀”；基金公司与支付宝合作销售基金产品，产品即将进入电子商城……网络理财方式与我们越来越近
预测: 银行在淘宝天猫开店，销售投资【产】品和理财产品；保险公司在网上发起团购，产品遭火爆“秒杀”；基金公司与支付宝合作销售基金产品，产品即将进入电子商城……网络理财方式与我们越来越近
错误类型: 过纠

原始: 有鉴于从健康照护到运输等各种装置都可透过网路控制或交流，资安专家大胆预测坏人会利用此一特性来执行谋杀行动，像是远端调整心律调节器，或是远端变更汽车操控系统，或是关闭静脉注射装置等，从技术的角度来看，这让谋杀变得更为简单
正确: 有鉴于从健康照护到运输等各种装置都可透过网络控制或交流，资安专家大胆预测坏人会利用此一特性来执行谋杀行动，像是远端调整心律调节器，或是远端【变】更汽车操控系统，或是关闭静脉注射装置等，从技术的角度来看，这让谋杀变得更为简单
预测: 有鉴于从健康照护到运输等各种装置都可透过网络控制或交流，资安专家大胆预测坏人会利用此一特性来执行谋杀行动，像是远端调整心律调节器，或是远端【调】更汽车操控系统，或是关闭静脉注射装置等，从技术的角度来看，这让谋杀变得更为简单
错误类型: 综合

原始: 消息中还称，此款全画幅数码相机为A卡口设计，以索尼A99为原型，但从外网公布的谍照来看，哈苏Solar和此前公布额的设计草稿图外形上有不少改变，具体参数消息目前还未公布
正确: 消息中还称，此款全画幅数码相机为A卡口设计，以索尼A99为原型，但从外网公布的谍照来看，哈苏Solar和此前公布【了】的设计草稿图外形上有不少改变，具体参数消息目前还未公布
预测: 消息中还称，此款全画幅数码相机为A卡口设计，以索尼A99为原型，但从外网公布的谍照来看，哈苏Solar和此前公布【的】的设计草稿图外形上有不少改变，具体参数消息目前还未公布
错误类型: 综合

原始: 带着它，拿起任何一样东西，匹配app变会发出不同物品的模拟声效，它能让家里的各种物件配上虚拟声效变身新玩具
正确: 带着它，拿起任何一样东西，匹配app【便】会发出不同物品的模拟声效，它能让家里的各种物件配上虚拟声效变身新玩具
预测: 带着它，拿起任何一样东西，匹配app【就】会发出不同物品的模拟声效，它能让家里的各种物件配上虚拟声效变身新玩具
错误类型: 综合

原始: 甘蓝、茄子……每天都有大量蔬菜被扔进垃圾台，很多看起来都好好的
正确: 甘蓝、茄子……每天都有大量蔬菜被扔进垃圾【台】，很多看起来都好好的
预测: 甘蓝、茄子……每天都有大量蔬菜被扔进垃圾【桶】，很多看起来都好好的
错误类型: 过纠

原始: 可以排毒；能补充每天必须的维生素；能提供轻服矿物质；有助于消化和减肥；对眼睛好；能对抗癌症；能治疗糖尿病、降低胆固醇、控制血压；能清新口腔；能光滑你的头发和指甲；能减轻关节炎和痛风；能减缓头痛；健康肾脏
正确: 可以排毒；能补充每天必须的维生素；能提供【亲】【服】矿物质；有助于消化和减肥；对眼睛好；能对抗癌症；能治疗糖尿病、降低胆固醇、控制血压；能清新口腔；能光滑你的头发和指甲；能减轻关节炎和痛风；能减缓头痛；健康肾脏
预测: 可以排毒；能补充每天必须的维生素；能提供【轻】【量】矿物质；有助于消化和减肥；对眼睛好；能对抗癌症；能治疗糖尿病、降低胆固醇、控制血压；能清新口腔；能光滑你的头发和指甲；能减轻关节炎和痛风；能减缓头痛；健康肾脏
错误类型: 综合

原始: 据CAPA报道：根据公布的2012年航空业航班时刻表数据，作为世界上发展最快的机场和世界第二大国际客运机场，迪拜国际机场现可称为世界领先的空中客车A380运行枢纽
正确: 据CAPA报道：根据公布的2012年航空业航班时刻表数据，作为世界上发展最快的机场和世界第二大国际客运机场，迪拜国际机场现可【称】为世界领先的空中客车A380运行枢纽
预测: 据CAPA报道：根据公布的2012年航空业航班时刻表数据，作为世界上发展最快的机场和世界第二大国际客运机场，迪拜国际机场现可【成】为世界领先的空中客车A380运行枢纽
错误类型: 过纠

原始: 开发商表示，摩天轮将提供奇佳视野，可欣赏曼哈顿的天际线，展望自由女神、布鲁克林区和纽约港
正确: 开发商表示，摩天轮将提供【奇】佳视野，可欣赏曼哈顿的天际线，展望自由女神、布鲁克林区和纽约港
预测: 开发商表示，摩天轮将提供【极】佳视野，可欣赏曼哈顿的天际线，展望自由女神、布鲁克林区和纽约港
错误类型: 过纠

原始: 昨晚23时许，一辆从河南新乡市开往林州市的大巴车在两市交界处发生交通事故，坠下百米深涯，造成20人身亡，13受伤
正确: 昨晚23时许，一辆从河南新乡市开往林州市的大巴车在两市交界处发生交通事故，坠下百米深【崖】，造成20人身亡，13受伤
预测: 昨晚23时许，一辆从河南新乡市开往林州市的大巴车在两市交界处发生交通事故，坠下百米深【渊】，造成20人身亡，13受伤
错误类型: 综合

原始: 业界专家则称，针对近期流动性的微妙变化，公开市场的预调微调功能将得到进一步有限发挥，并加强与其它货币政策工具的协调配合
正确: 业界专家则称，针对近期流动性的微妙变化，公开市场的预调微调功能将得到进一步有限发挥，并加强与其【他】货币政策工具的协调配合
预测: 业界专家则称，针对近期流动性的微妙变化，公开市场的预调微调功能将得到进一步有限发挥，并加强与其【它】货币政策工具的协调配合
错误类型: 漏纠

原始: 赤王跟黑王，就是分别加了辣油肉末和黑蒜油肉末，味道更加浓郁跟有层次
正确: 赤王跟黑王，就是分别加了辣油肉末和黑蒜油肉末，味道更加浓郁【更】有层次
预测: 赤王跟黑王，就是分别加了辣油肉末和黑蒜油肉末，味道更加浓郁【跟】有层次
错误类型: 漏纠

原始: 为了解中央八项规定精神贯彻落实情况，国家统计局社情民意调查中心同时在人民网、新华网和央视网开展相关调查，期望广大网民朋友踊跃参加，提供自己的宝贵意见
正确: 为了解中央八项规定精神贯彻落实情况，国家统计局社情民意调查中心同时在人民网、新华网和央视网开展相关调查，【希】望广大网民朋友踊跃参加，提供自己的宝贵意见
预测: 为了解中央八项规定精神贯彻落实情况，国家统计局社情民意调查中心同时在人民网、新华网和央视网开展相关调查，【期】望广大网民朋友踊跃参加，提供自己的宝贵意见
错误类型: 漏纠

原始: 经历过胶卷时代的尼康粉丝在看到V2的刹那间，总会有种似曾相识的感觉，相比于早先的V1，V2的设计风格更加具有立体感，与经典F4外贸的那几分相像之处会让这台初来乍到的机器加分不少
正确: 经历过胶卷时代的尼康粉丝在看到V2的刹那间，总会有种似曾相识的感觉，相比于早先的V1，V2的设计风格更加具有立体感，与经典F4外【貌】的那几分相像之处会让这台初来乍到的机器加分不少
预测: 经历过胶卷时代的尼康粉丝在看到V2的刹那间，总会有种似曾相识的感觉，相比于早先的V1，V2的设计风格更加具有立体感，与经典F4外【观】的那几分相像之处会让这台初来乍到的机器加分不少
错误类型: 综合

原始: 而在近两个月的大新期间，保证金净流入额均在3000亿元以上
正确: 而在近两个月的【打】【新】期间，保证金净流入额均在3000亿元以上
预测: 而在近两个月的【大】【计】期间，保证金净流入额均在3000亿元以上
错误类型: 综合

原始: 阿里巴巴集团以合伴人制度在港上市的诉求或已遭香港监管部门拒绝
正确: 阿里巴巴集团以合【伴】人制度在港上市的诉求或已遭香港监管部门拒绝
预测: 阿里巴巴集团以合【伙】人制度在港上市的诉求或已遭香港监管部门拒绝
错误类型: 过纠

原始: 一帜父亲表示，从医院被抱回家的那天起，他就让他听世界名人的英语演说，如亚伯拉罕·林肯的《葛底斯堡演说》和马丁·路德·金的《我有一个梦想》等等
正确: 一【帜】父亲表示，从医院被抱回家的那天起，他就让他听世界名人的英语演说，如亚伯拉罕·林肯的《葛底斯堡演说》和马丁·路德·金的《我有一个梦想》等等
预测: 一【位】父亲表示，从医院被抱回家的那天起，他就让他听世界名人的英语演说，如亚伯拉罕·林肯的《葛底斯堡演说》和马丁·路德·金的《我有一个梦想》等等
错误类型: 过纠

原始: 她相中的公寓坐落在切尔西的地盘，对于阿森纳球迷还说可谈不上是好消息
正确: 她相中的公寓坐落在切尔西的地盘，对于阿森纳球迷【来】说可谈不上是好消息
预测: 她相中的公寓坐落在切尔西的地盘，对于阿森纳球迷【还】说可谈不上是好消息
错误类型: 漏纠

